unique_id,osmid,name,geometry,longitude,latitude,usage_count,POI_type,amenity
node/735153162,735153162,Das Naturschutzgebiet Wahner Heide,POINT (7.1248992 50.9056429),7.1248992,50.9056429,0,POI_tourism,
node/735153163,735153163,,POINT (7.1213602 50.8997056),7.1213602,50.8997056,0,POI_tourism,
node/736622284,736622284,,POINT (7.1277306 50.9101797),7.1277306,50.9101797,0,POI_tourism,
node/746254563,746254563,Worringer Bruch,POINT (6.8555024 51.0474901),6.8555024,51.0474901,0,POI_tourism,
node/746257152,746257152,Worringer Bruch,POINT (6.8633107 51.0591623),6.8633107,51.0591623,0,POI_tourism,
node/766779592,766779592,Hotel Arcaden,POINT (6.9983807 50.9373417),6.9983807,50.9373417,3386,POI_tourism,
node/773160861,773160861,,POINT (7.091824 50.9341133),7.091824,50.9341133,0,POI_tourism,
node/775674763,775674763,,POINT (7.0994727 50.9426548),7.0994727,50.9426548,0,POI_tourism,
node/784186663,784186663,,POINT (7.0768941 50.9431687),7.0768941,50.9431687,0,POI_tourism,
node/784187229,784187229,,POINT (7.0780643 50.9389613),7.0780643,50.9389613,0,POI_tourism,
node/818639184,818639184,,POINT (7.1223571 50.8788691),7.1223571,50.8788691,0,POI_tourism,
node/818644487,818644487,,POINT (7.1195829 50.8804546),7.1195829,50.8804546,3519,POI_tourism,
node/852994925,852994925,,POINT (6.9298189 50.9323179),6.9298189,50.9323179,3802,POI_tourism,
node/859840248,859840248,Duftgarten,POINT (6.9685198 50.9593633),6.9685198,50.9593633,1219,POI_tourism,
node/874370307,874370307,,POINT (6.9375802 50.8512848),6.9375802,50.8512848,0,POI_tourism,
node/879517469,879517469,TRIPLE L II,POINT (7.0545019 50.8847385),7.0545019,50.8847385,225,POI_tourism,
node/879517473,879517473,,POINT (7.0546335 50.8856121),7.0546335,50.8856121,209,POI_tourism,
node/894361046,894361046,Fremdenzimmer Helga Plag,POINT (7.0862371 50.9224037),7.0862371,50.9224037,0,POI_tourism,
node/894503737,894503737,Flandrischer Hof,POINT (6.9383058 50.9372574),6.9383058,50.9372574,21758,POI_tourism,
node/897533938,897533938,,POINT (6.9474088 50.9205079),6.9474088,50.9205079,2256,POI_tourism,
node/901366870,901366870,Galerie Anke Schmidt,POINT (6.9697044 50.9138146),6.9697044,50.9138146,2996,POI_tourism,
node/904977542,904977542,,POINT (7.1308067 50.9151454),7.1308067,50.9151454,0,POI_tourism,
node/904977641,904977641,Bodenlehrpfad Königsforst Standort 1,POINT (7.1431889 50.9444115),7.1431889,50.9444115,0,POI_tourism,
node/926534172,926534172,,POINT (6.9559279 50.9348937),6.9559279,50.9348937,14330,POI_tourism,
node/926534894,926534894,,POINT (6.9782003 50.9183411),6.9782003,50.9183411,191,POI_tourism,
node/926534900,926534900,,POINT (6.9693415 50.9185412),6.9693415,50.9185412,1540,POI_tourism,
node/926534922,926534922,Knotenpunkt 90,POINT (6.9631395 50.9367313),6.9631395,50.9367313,6940,POI_tourism,
node/926534926,926534926,,POINT (6.9706546 50.936264),6.9706546,50.936264,4411,POI_tourism,
node/926535575,926535575,,POINT (6.9923673 50.9019397),6.9923673,50.9019397,5,POI_tourism,
node/926535576,926535576,,POINT (6.9932381 50.9028447),6.9932381,50.9028447,5,POI_tourism,
node/926535577,926535577,,POINT (7.0533306 50.8868899),7.0533306,50.8868899,120,POI_tourism,
node/926535578,926535578,,POINT (7.05333 50.886837),7.05333,50.886837,120,POI_tourism,
node/926535580,926535580,,POINT (7.0540923 50.8846018),7.0540923,50.8846018,205,POI_tourism,
node/936357563,936357563,,POINT (6.9389749 50.9530199),6.9389749,50.9530199,1642,POI_tourism,
node/937122224,937122224,Bollerwagen,POINT (6.9733446 50.9582402),6.9733446,50.9582402,1726,POI_tourism,
node/937649808,937649808,Kasse Kölner Zoo,POINT (6.9727376 50.9581174),6.9727376,50.9581174,1693,POI_tourism,
node/937649813,937649813,Nashornleguan,POINT (6.9730345 50.9582497),6.9730345,50.9582497,1740,POI_tourism,
node/946072095,946072095,Zum Goldenen Hut,POINT (6.9743493 50.9366032),6.9743493,50.9366032,7073,POI_tourism,
node/963183236,963183236,Zollfeste Zons,POINT (6.8297604 51.0692822),6.8297604,51.0692822,0,POI_tourism,
node/968727183,968727183,,POINT (7.1133233 50.8992661),7.1133233,50.8992661,0,POI_tourism,
node/974936895,974936895,Friedhofsplan,POINT (6.8600506 51.0628493),6.8600506,51.0628493,0,POI_tourism,
node/974936988,974936988,Friedhofsplan,POINT (6.8601618 51.0615679),6.8601618,51.0615679,0,POI_tourism,
node/974937051,974937051,Friedhofsplan,POINT (6.8588583 51.0622496),6.8588583,51.0622496,0,POI_tourism,
node/1038585547,1038585547,Maugeri Ital. Hotel,POINT (6.9990726 50.9404653),6.9990726,50.9404653,3491,POI_tourism,
node/1094776249,1094776249,Gedenktafel für den XX. Weltjugendtag,POINT (6.9576736 50.9410632),6.9576736,50.9410632,17006,POI_tourism,
node/1094776262,1094776262,Kreuzblume,POINT (6.9563841 50.9413192),6.9563841,50.9413192,16716,POI_tourism,
node/1094776301,1094776301,Tafel zum Andenken an Papst Johannes XXIII.,POINT (6.9577987 50.9410695),6.9577987,50.9410695,16659,POI_tourism,
node/1094776315,1094776315,St. Petersglocke,POINT (6.9572135 50.9410644),6.9572135,50.9410644,17131,POI_tourism,
node/1105992881,1105992881,,POINT (6.9597966 50.9405794),6.9597966,50.9405794,10426,POI_tourism,
node/1140754857,1140754857,Instahlation,POINT (6.938021 50.9269398),6.938021,50.9269398,9832,POI_tourism,
node/1148992513,1148992513,Galerie DISPLAY,POINT (6.9411615 50.9089077),6.9411615,50.9089077,3676,POI_tourism,
node/1166971433,1166971433,,POINT (6.9565234 50.9408457),6.9565234,50.9408457,17460,POI_tourism,
node/1200523198,1200523198,Der Pescher See: Raum für Naherholung und Rückzug,POINT (6.8633331 50.9934147),6.8633331,50.9934147,0,POI_tourism,
node/1214863295,1214863295,Südbrücke,POINT (6.9735771 50.9171455),6.9735771,50.9171455,202,POI_tourism,
node/1265004373,1265004373,Galerie Michael Werner,POINT (6.9457934 50.9381689),6.9457934,50.9381689,13600,POI_tourism,
node/1292118269,1292118269,Der Hahn,POINT (6.943156 50.936028),6.943156,50.936028,16128,POI_tourism,
node/1301836088,1301836088,Mutter Colonia,POINT (6.9587207 50.938823),6.9587207,50.938823,12719,POI_tourism,
node/1329561632,1329561632,,POINT (7.1113613 50.9195625),7.1113613,50.9195625,0,POI_tourism,
