cardinality,proportion,dist_center_start,dist_center_end,duration,weekend,0 Monday,1 Tuesday,2 Wednesday,3 Thursday,4 Friday,5 Saturday,6 Sunday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20175,5.023380193316103,4969.640545229244,4869.665080545229,33.752021478727805,0.0,18.0817843866171,20.19826517967782,20.82280049566295,19.638166047087978,21.25898389095415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43122676579925645,4.912019826517968,10.830235439900868,12.257744733581164,13.784386617100372,16.272614622057002,17.486988847583643,15.469640644361835,7.112763320941759,1.288723667905824,0.1536555142503098,0.0,0.0,0.0
24438,6.084826030446539,2115.5560602340615,1915.8543661510762,21.037648334560835,0.999754480726737,0.024551927326295114,0.0,0.0,0.0,0.0,57.56608560438661,42.40936246828709,0.0,0.0,0.0,0.0,0.0,2.0582699075210735,3.077174891562321,6.567640559783943,10.24224568295278,13.315328586627384,15.55773794909567,17.07586545543825,16.826254194287586,15.279482772730994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20372,5.072431291114531,1506.315285686236,1490.5035342627136,17.373842365338078,0.0,0.0,0.0,0.0,38.81798547025329,61.18201452974671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.795798154329471,10.28863145493815,11.020027488709994,11.707245238562733,13.312389554290203,15.482034164539565,15.064794816414686,13.533280973885725,4.795798154329471,0.0,0.0,0.0,0.0
27034,6.731204963871501,1779.5673966116742,1872.760005918473,20.929503588074162,1.0,0.0,0.0,0.0,0.0,0.0,62.72101797736184,37.27898202263816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.605089886809202,14.415180883332102,16.020566693793,16.77147295997633,16.61611304283495,14.76659021972331,7.460975068432345,0.3440112450987645,0.0,0.0
16040,3.993805120237437,3037.304239401496,2906.6412718204488,93.01654301745693,0.18360349127182046,14.706982543640898,16.284289276807982,15.056109725685785,17.699501246882793,17.8927680798005,12.711970074812967,5.648379052369077,0.0,0.36783042394014964,0.34289276807980046,0.7231920199501247,1.6770573566084788,6.184538653366584,13.659600997506235,14.638403990024937,11.552369077306732,12.331670822942643,12.93640897755611,13.403990024937656,12.182044887780549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15641,3.8944579729198106,1325.6800716066748,4288.145195319992,32.71018263964367,0.1005690173262579,17.716258551243527,16.603797711143788,17.422159708458537,17.326257911898217,20.87462438463014,5.517550028770539,4.539351703855252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5370500607378045,2.614922319544786,5.619845278434883,10.779361933380219,15.203631481363084,16.546256633207594,15.990026213157726,16.411994118023145,15.094942778594719,1.2019691835560387,0.0,0.0,0.0,0.0,0.0,0.0
26643,6.63384973930711,1586.2958750891416,1590.3987914273919,16.982332445044896,0.0,35.58157865105281,36.35476485380775,27.448110197800546,0.5967796419322148,0.01876665540667342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003753331081334684,0.32653980407611755,8.67770146004579,11.564013061592163,12.033179446758998,13.440678602259506,15.876590474045715,17.201516345756858,14.472844649626543,6.324362872048943,0.07881995270802838,0.0,0.0,0.0
19840,4.939968428024361,4328.898286290322,4248.252066532258,18.9210324260753,0.0814516129032258,17.56048387096774,17.026209677419356,17.75201612903226,17.056451612903224,22.45967741935484,4.969758064516129,3.1754032258064515,5.554435483870968,3.452620967741935,2.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6078629032258065,10.01008064516129,17.046370967741936,19.12298387096774,16.975806451612904,14.274193548387096,9.939516129032258
29305,7.296662035446265,1518.951032247057,1613.4879030882103,15.636634248990434,0.0065176591025422285,19.621225046920323,21.57311039071831,20.77802422794745,20.525507592560995,16.850366831598702,0.1228459307285446,0.5289199795256782,0.0,0.0,0.0,1.5560484558948986,3.0165500767787066,5.671387135301143,11.564579423306604,19.276573963487458,18.546323153045556,12.608769834499231,13.700733663197406,12.117386111585054,1.9416481829039414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18323,4.562250075942055,4207.405501282541,1261.5502374065381,31.801652749731577,0.06854772690061671,18.01560879768597,18.348523713365715,18.108388364350816,19.29269224471975,19.380014189816077,3.803962233258746,3.0508104568029255,0.12006767450744966,0.7476941548873001,1.4844730666375594,2.412268733286034,5.59406210773345,10.560497735087049,15.428696174207278,17.038694536920808,13.513071003656608,9.82371882333679,8.748567374338263,8.21917808219178,5.735960268514981,0.5730502646946461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22369,5.569665008390975,4853.33671599088,1739.3122178014216,34.074397603826526,0.11051008091555277,14.542447136662345,14.466449103670259,16.39322276364612,17.38119719254325,26.16567571192275,7.711565112432384,3.3394429791228935,0.5453976485314498,0.0447047252894631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2293799454602352,5.225982386338236,6.29889579328535,9.55787026688721,13.809289641915152,17.689659797040548,16.290401895480354,11.67687424560776,8.118378112566498,5.58362018865394,2.762752022888819,1.1667933300549869
