id,provider,city,vehicleType,model,datetime_start,date_start,time_start,datetime_end,date_end,time_end,longitude_start,latitude_start,longitude_end,latitude_end,fuel_start,fuel_end,distance,duration,price_driving_start,price_driving_end,price_promo_start,price_promo_end,missing_file_number
YmlrZTo6Y2lyYzo6M2E1YzQ3NjEtNWZhYy00MDQ3LWIwYzctZjliNjY5M2IyNzM0,circ,cologne,kick scooter,365235,20191219-032408,20191219,320,20191219-032908,20191219,325,6.948633,50.93585,6.949072,50.93623,47.0,47.0,52.26600650141827,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2E1YzQ3NjEtNWZhYy00MDQ3LWIwYzctZjliNjY5M2IyNzM0,circ,cologne,kick scooter,365235,20191219-032908,20191219,325,20191219-033407,20191219,330,6.949072,50.93623,6.948628,50.935803,47.0,47.0,56.76603561607717,299.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2E1YzQ3NjEtNWZhYy00MDQ3LWIwYzctZjliNjY5M2IyNzM0,circ,cologne,kick scooter,365235,20191219-124909,20191219,1245,20191219-125406,20191219,1250,6.948861999999999,50.935604999999995,6.94868,50.936040000000006,47.0,47.0,50.02294144807149,297.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2FjMzk3YWQtZjM4Yi00ZDVmLTk5NzItNGYyZTNlMDJjZDY0,circ,cologne,kick scooter,197469,20191219-061407,20191219,610,20191219-063406,20191219,630,6.95905,50.949027,6.965443,50.925548,53.0,35.0,2648.903263034672,1199.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2FjMzk3YWQtZjM4Yi00ZDVmLTk5NzItNGYyZTNlMDJjZDY0,circ,cologne,kick scooter,197469,20191219-113424,20191219,1130,20191219-114406,20191219,1140,6.965055,50.925457,6.959957000000001,50.919488,28.0,22.0,753.8042336655407,582.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2FjMzk3YWQtZjM4Yi00ZDVmLTk5NzItNGYyZTNlMDJjZDY0,circ,cologne,kick scooter,197469,20191219-142048,20191219,1420,20191219-143406,20191219,1430,6.959933,50.919484999999995,6.962064999999999,50.91255,22.0,17.0,785.488631025019,798.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2FjMzk3YWQtZjM4Yi00ZDVmLTk5NzItNGYyZTNlMDJjZDY0,circ,cologne,kick scooter,197469,20191219-143406,20191219,1430,20191219-144942,20191219,1445,6.962064999999999,50.91255,6.960985000000001,50.913148,17.0,14.0,100.77034551222658,936.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2I2NjkzZmEtOWM4Yy00MzA4LTllM2ItNTFlNTkyODA1ZWQy,circ,cologne,kick scooter,167946,20191219-015924,20191219,155,20191219-020408,20191219,200,6.9978229999999995,50.962340000000005,6.9985479999999995,50.962108,49.0,49.0,56.952480574816285,284.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2I2NjkzZmEtOWM4Yy00MzA4LTllM2ItNTFlNTkyODA1ZWQy,circ,cologne,kick scooter,167946,20191219-020908,20191219,205,20191219-021407,20191219,210,6.9986,50.961995,6.997975,50.962272,49.0,49.0,53.52242142475331,299.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2I2NjkzZmEtOWM4Yy00MzA4LTllM2ItNTFlNTkyODA1ZWQy,circ,cologne,kick scooter,167946,20191219-033908,20191219,335,20191219-034407,20191219,340,6.998978,50.962575,6.998444999999999,50.962178,49.0,49.0,57.81110017648559,299.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
