id,provider,city,vehicleType,model,datetime_start,date_start,time_start,datetime_end,date_end,time_end,longitude_start,latitude_start,longitude_end,latitude_end,fuel_start,fuel_end,distance,duration,price_driving_start,price_driving_end,price_promo_start,price_promo_end,missing_file_number
YmlrZTo6Y2lyYzo6M2E1YzQ3NjEtNWZhYy00MDQ3LWIwYzctZjliNjY5M2IyNzM0,circ,cologne,kick scooter,365235,20191213-214911,20191213,2145,20191213-215908,20191213,2155,6.958717,50.949383000000005,6.958402,50.94993,85.0,80.0,64.70290440250078,597.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2RjNDQwY2UtMzUwNS00OTQyLWEzZTAtNDNhZDIyZDU0MWVh,circ,cologne,kick scooter,617778,20191213-195410,20191213,1950,20191213-200424,20191213,2000,6.936372,50.934538,6.934989999999999,50.931812,82.0,81.0,318.2136206333082,614.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2UyOGZjZjgtMjI5NS00OWIxLTkyNGQtY2MyMmUxNTRiYzdm,circ,cologne,kick scooter,511514,20191213-233408,20191213,2330,20191213-234907,20191213,2345,6.940217999999999,50.928005,6.9596118,50.9207947,75.0,67.0,1578.16304296907,899.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2VjMTViNmUtYzY0NS00ZWRiLWIyY2UtNGYxYmU4MDI4YjEx,circ,cologne,kick scooter,408466,20191213-121908,20191213,1215,20191213-122407,20191213,1220,6.958042999999999,50.948893,6.958038,50.948372,28.0,28.0,57.9336957096293,299.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2Y3MDExZGItNzc5NS00Yjg1LWFlZWUtMjdlNjFiNTBmMWE5,circ,cologne,kick scooter,362871,20191213-103409,20191213,1030,20191213-104908,20191213,1045,6.949147,50.936347,6.9529369999999995,50.93504,38.0,34.0,302.7456315363129,899.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2Y3MDExZGItNzc5NS00Yjg1LWFlZWUtMjdlNjFiNTBmMWE5,circ,cologne,kick scooter,362871,20191213-124408,20191213,1240,20191213-124909,20191213,1245,6.9529119999999995,50.935142,6.952839999999999,50.937368,28.0,28.0,247.57166313432398,301.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2Y3MDExZGItNzc5NS00Yjg1LWFlZWUtMjdlNjFiNTBmMWE5,circ,cologne,kick scooter,362871,20191213-124909,20191213,1245,20191213-125409,20191213,1250,6.952839999999999,50.937368,6.952837,50.9351,28.0,28.0,252.19052958700743,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDA0Yjg4ZDQtNzA2Yi00MTExLWI4YzgtN2Y2YmFlZDA1MTBj,circ,cologne,kick scooter,476616,20191213-163924,20191213,1635,20191213-165908,20191213,1655,6.952953,50.94151,6.9477924,50.937724700000004,84.0,79.0,554.8993388063058,1184.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDEyYzVhYTYtMTg3MC00Y2Y3LTg3NWEtODRiM2JiYWQ0OTc3,circ,cologne,kick scooter,316010,20191213-104407,20191213,1040,20191213-105907,20191213,1055,6.955489999999999,50.94003,6.94272,50.940217,48.0,42.0,895.0048322796613,900.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDZjOTcwNjMtNWZjZS00YmIyLWFhNTYtNGY4YzI0Y2Y1MGE1,circ,cologne,kick scooter,259134,20191213-082409,20191213,820,20191213-082907,20191213,825,6.971855000000001,50.944485,6.972928,50.944925,95.0,95.0,89.69413048862799,298.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
