id,provider,vehicleType,date_start,time_start,date_end,time_end,year,month,weekday,hour,weekend,longitude_start,latitude_start,longitude_end,latitude_end,coordinates_start,coordinates_end,distance,duration,speed
YmlrZTo6Zm9yZHBhc3M6OjE2Njg5OA==,fordpass,bicycle,2019-11-18,1610,2019-11-18,1710,2019,11,0,16,0,6.9482603,50.923912,6.928357000000001,50.92388,"(50.9239, 6.9483)","(50.9239, 6.9284)",1395.0676603773768,3601.0,1.3946802491970445
YmlrZTo6Zm9yZHBhc3M6OjE3OTE0OQ==,fordpass,bicycle,2019-11-18,1635,2019-11-19,1340,2019,11,0,16,0,6.9211273,50.943516,6.953121,50.95169,"(50.9435, 6.9211)","(50.9517, 6.9531)",2418.6389813554683,75897.0,0.11472258894132425
YmlrZTo6Zm9yZHBhc3M6OjE4MDA4Ng==,fordpass,bicycle,2019-11-18,1640,2019-11-19,225,2019,11,0,16,0,6.910931599999999,50.94969,6.91096,50.94442700000001,"(50.9497, 6.9109)","(50.9444, 6.911)",585.223089408021,35082.0,0.060053677722731756
YmlrZTo6Zm9yZHBhc3M6OjE2NjU1NQ==,fordpass,bicycle,2019-11-18,1645,2019-11-19,225,2019,11,0,16,0,6.9042062999999985,50.93725,6.915332,50.9303,"(50.9372, 6.9042)","(50.9303, 6.9153)",1097.768044779833,34798.0,0.11356873846794065
YmlrZTo6Zm9yZHBhc3M6OjE4MDA4NQ==,fordpass,bicycle,2019-11-18,1715,2019-11-19,225,2019,11,0,17,0,6.901825,50.95731,6.9156460000000015,50.95077,"(50.9573, 6.9018)","(50.9508, 6.9156)",1210.8213718101754,32999.0,0.13209360703405046
YmlrZTo6Zm9yZHBhc3M6OjE4MDQzOQ==,fordpass,bicycle,2019-11-18,1715,2019-11-18,1735,2019,11,0,17,0,6.9167852,50.92454,6.9049196,50.944645,"(50.9245, 6.9168)","(50.9446, 6.9049)",2385.201355399889,1199.0,7.161572042902086
YmlrZTo6Zm9yZHBhc3M6OjE3OTkxOQ==,fordpass,bicycle,2019-11-18,1730,2019-11-19,705,2019,11,0,17,0,6.939352,50.936405,6.9306564,50.94628,"(50.9364, 6.9394)","(50.9463, 6.9307)",1255.754494239002,48889.0,0.0924689844189983
YmlrZTo6Zm9yZHBhc3M6OjE2NjY5NQ==,fordpass,bicycle,2019-11-18,1740,2019-11-18,1755,2019,11,0,17,0,6.9639254,50.92464,6.9442119999999985,50.927322,"(50.9246, 6.9639)","(50.9273, 6.9442)",1413.508934030694,900.0,5.654035736122776
YmlrZTo6Zm9yZHBhc3M6OjE2NjU4Mw==,fordpass,bicycle,2019-11-18,1745,2019-11-19,810,2019,11,0,17,0,6.9568534,50.935383,6.96385,50.927242,"(50.9354, 6.9569)","(50.9272, 6.9638)",1029.5044089652324,51878.0,0.07144099372132381
YmlrZTo6Zm9yZHBhc3M6OjE3OTY2Nw==,fordpass,bicycle,2019-11-18,1815,2019-11-19,225,2019,11,0,18,0,6.907939,50.948563,6.917045,50.951336,"(50.9486, 6.9079)","(50.9513, 6.917)",708.5148752976319,29399.0,0.08675987452197269
YmlrZTo6Zm9yZHBhc3M6OjE2NjY4Nw==,fordpass,bicycle,2019-11-18,1835,2019-11-18,1855,2019,11,0,18,0,6.9400954,50.94058,6.939833,50.95938,"(50.9406, 6.9401)","(50.9594, 6.9398)",2090.548324167847,1200.0,6.271644972503542
YmlrZTo6Zm9yZHBhc3M6OjE4NjY1Ng==,fordpass,bicycle,2019-11-18,1840,2019-11-18,1850,2019,11,0,18,0,6.931291000000001,50.95643,6.9369320000000005,50.9535,"(50.9564, 6.9313)","(50.9535, 6.9369)",512.1235810027018,602.0,3.062533042541074
YmlrZTo6Zm9yZHBhc3M6OjE3OTgzNQ==,fordpass,bicycle,2019-11-18,1850,2019-11-18,1910,2019,11,0,18,0,6.969349,50.919323,6.9300447,50.91473,"(50.9193, 6.9693)","(50.9147, 6.93)",2802.258705024645,1238.0,8.148732906372151
YmlrZTo6Zm9yZHBhc3M6OjE2Njc5MA==,fordpass,bicycle,2019-11-18,1900,2019-11-19,855,2019,11,0,19,0,6.937271000000001,50.953655,6.9103355,50.94935200000001,"(50.9537, 6.9373)","(50.9494, 6.9103)",1946.5650999579293,50098.0,0.1398785252874076
YmlrZTo6Zm9yZHBhc3M6OjE4MDQ1OA==,fordpass,bicycle,2019-11-18,1900,2019-11-18,1910,2019,11,0,19,0,6.96565,50.97209,6.959165,50.967632,"(50.9721, 6.9656)","(50.9676, 6.9592)",672.2580057427098,638.0,3.7933053615576102
YmlrZTo6a3ZiOjoyNTAwNDY4NQ==,kvb,bicycle,2019-11-18,2020,2019-11-18,2025,2019,11,0,20,0,6.956312832999999,50.93507329999999,6.95619615,50.9362395,"(50.9351, 6.9563)","(50.9362, 6.9562)",129.93322406178712,301.0,1.5540186266526035
YmlrZTo6Zm9yZHBhc3M6OjE4MDI4MA==,fordpass,bicycle,2019-11-18,2040,2019-11-18,2055,2019,11,0,20,0,6.9478,50.939472,6.952259,50.9476,"(50.9395, 6.9478)","(50.9476, 6.9523)",956.2645881357803,899.0,3.8293131449263726
YmlrZTo6Zm9yZHBhc3M6OjE2NjkwMQ==,fordpass,bicycle,2019-11-18,2155,2019-11-19,655,2019,11,0,21,0,6.9584850000000005,50.94475,6.981636999999999,50.93118,"(50.9448, 6.9585)","(50.9312, 6.9816)",2215.5416491559204,32398.0,0.24618649104763607
YmlrZTo6Zm9yZHBhc3M6OjE4MDE4OQ==,fordpass,bicycle,2019-11-18,2155,2019-11-18,2210,2019,11,0,21,0,6.939153,50.93648,6.9138713,50.93679,"(50.9365, 6.9392)","(50.9368, 6.9139)",1771.8962689326834,898.0,7.103370343159979
YmlrZTo6Zm9yZHBhc3M6OjE3OTg1NA==,fordpass,bicycle,2019-11-18,2205,2019-11-19,2045,2019,11,0,22,0,6.930390400000001,50.909218,6.962627,50.91625,"(50.9092, 6.9304)","(50.9162, 6.9626)",2391.5116296495576,81601.0,0.10550657304124222
YmlrZTo6Zm9yZHBhc3M6OjE3OTg1OA==,fordpass,bicycle,2019-11-18,2210,2019-11-19,1805,2019,11,0,22,0,6.9751477,50.93688,6.996228,50.959755,"(50.9369, 6.9751)","(50.9598, 6.9962)",2941.2128549155664,71726.0,0.14762242809714804
YmlrZTo6Zm9yZHBhc3M6OjE4MDA2MA==,fordpass,bicycle,2019-11-18,2220,2019-11-19,830,2019,11,0,22,0,6.9312315,50.914207,6.9285693,50.928055,"(50.9142, 6.9312)","(50.9281, 6.9286)",1551.09578904325,36601.0,0.15256263054440317
YmlrZTo6Zm9yZHBhc3M6OjE2Njg5OA==,fordpass,bicycle,2019-11-18,2300,2019-11-19,1430,2019,11,0,23,0,6.928357000000001,50.92388,6.931553,50.914364,"(50.9239, 6.9284)","(50.9144, 6.9316)",1081.5899406113015,55800.0,0.06977999616847107
YmlrZTo6Zm9yZHBhc3M6OjE3OTEzNw==,fordpass,bicycle,2019-11-18,2340,2019-11-19,305,2019,11,0,23,0,6.962262,50.94341,6.9636693,50.942673,"(50.9434, 6.9623)","(50.9427, 6.9637)",128.21029061786314,12322.0,0.037457965121271496
YmlrZTo6Zm9yZHBhc3M6OjE2NjMwNg==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9649034,50.91813,6.957158,50.91877,"(50.9181, 6.9649)","(50.9188, 6.9572)",547.5984385461198,282.0,6.990618364418552
YmlrZTo6Zm9yZHBhc3M6OjE2NjUxNw==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9349008,50.935917,6.9522805,50.9282,"(50.9359, 6.9349)","(50.9282, 6.9523)",1489.8864230436611,282.0,19.019826677153123
YmlrZTo6Zm9yZHBhc3M6OjE2NjY5MA==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9437766000000005,50.91622,6.9232130000000005,50.922955,"(50.9162, 6.9438)","(50.923, 6.9232)",1624.4104845065735,282.0,20.737155121360516
YmlrZTo6Zm9yZHBhc3M6OjE2NjcxNA==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9607606,50.911304,6.958541,50.92462,"(50.9113, 6.9608)","(50.9246, 6.9585)",1488.8266305739187,282.0,19.006297411581944
YmlrZTo6Zm9yZHBhc3M6OjE2Njg3Mw==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9381137000000015,50.931034,6.9398265,50.940098,"(50.931, 6.9381)","(50.9401, 6.9398)",1014.9936148523905,282.0,12.957365295987964
YmlrZTo6Zm9yZHBhc3M6OjE2NjgzMA==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.945309,50.91144600000001,6.946814999999999,50.908394,"(50.9114, 6.9453)","(50.9084, 6.9468)",355.41460459778284,282.0,4.537207718269569
YmlrZTo6Zm9yZHBhc3M6OjE2NzA1NQ==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,7.0112534,50.96817,7.009561,50.967346,"(50.9682, 7.0113)","(50.9673, 7.0096)",149.8004276324895,282.0,1.9123458846700787
YmlrZTo6Zm9yZHBhc3M6OjE3OTE2NQ==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.972764999999999,50.944477,6.9743447,50.94388,"(50.9445, 6.9728)","(50.9439, 6.9743)",129.0580139570167,282.0,1.6475491143448942
