id,provider,vehicleType,date_start,time_start,date_end,time_end,year,month,weekday,hour,weekend,longitude_start,latitude_start,longitude_end,latitude_end,coordinates_start,coordinates_end,distance,duration,speed
YmlrZTo6Zm9yZHBhc3M6OjE3ODkwNg==,fordpass,bicycle,2020-02-01,0,2020-02-01,15,2020,2,5,0,1,6.938652,50.928886,6.9147177,50.932404,"(50.9289, 6.9387)","(50.9324, 6.9147)",1722.3717386647065,894.0,6.9357251221397584
YmlrZTo6Zm9yZHBhc3M6OjE4NzEwNg==,fordpass,bicycle,2020-02-01,0,2020-02-01,20,2020,2,5,0,1,6.984063000000001,50.935863,6.9889927,50.931877,"(50.9359, 6.9841)","(50.9319, 6.989)",561.9509459381386,1195.0,1.6929066153784929
YmlrZTo6Zm9yZHBhc3M6OjE4MzUxNg==,fordpass,bicycle,2020-02-01,0,2020-02-01,1235,2020,2,5,0,1,6.951466,50.933987,6.9453697,50.90754,"(50.934, 6.9515)","(50.9075, 6.9454)",2971.6623103700426,45295.0,0.23618466314896022
YmlrZTo6Zm9yZHBhc3M6OjE3ODg4NQ==,fordpass,bicycle,2020-02-01,0,2020-02-01,1905,2020,2,5,0,1,6.935856299999998,50.94152,6.937850999999998,50.94236,"(50.9415, 6.9359)","(50.9424, 6.9379)",168.09725685647922,68736.0,0.008803976441505545
YmlrZTo6Zm9yZHBhc3M6OjE2NjA0NQ==,fordpass,bicycle,2020-02-01,15,2020-02-01,25,2020,2,5,0,1,6.925092,50.947506,6.9354515,50.942455,"(50.9475, 6.9251)","(50.9425, 6.9355)",917.7238077386079,600.0,5.5063428464316475
YmlrZTo6Zm9yZHBhc3M6OjE2NjAyMw==,fordpass,bicycle,2020-02-01,25,2020-02-01,50,2020,2,5,0,1,6.9246880000000015,50.94524000000001,6.9561275999999985,50.92106,"(50.9452, 6.9247)","(50.9211, 6.9561)",3476.104657104198,1502.0,8.33154245377837
YmlrZTo6Zm9yZHBhc3M6OjE2NTk1MQ==,fordpass,bicycle,2020-02-01,30,2020-02-01,310,2020,2,5,0,1,6.9395614000000005,50.927616,6.9347759999999985,50.942924,"(50.9276, 6.9396)","(50.9429, 6.9348)",1734.891312860648,9630.0,0.6485575001348217
YmlrZTo6Zm9yZHBhc3M6OjE4NjY3Ng==,fordpass,bicycle,2020-02-01,30,2020-02-01,405,2020,2,5,0,1,6.903678,50.943836,6.939847,50.959354,"(50.9438, 6.9037)","(50.9594, 6.9398)",3065.4229762896452,12898.0,0.8555995281937294
YmlrZTo6Zm9yZHBhc3M6OjE3OTUxNA==,fordpass,bicycle,2020-02-01,40,2020-02-01,1225,2020,2,5,0,1,6.97808,50.93693,6.959494599999998,50.94002,"(50.9369, 6.9781)","(50.94, 6.9595)",1346.8446914738554,42300.0,0.1146250801254345
YmlrZTo6Zm9yZHBhc3M6OjE4MzUwOA==,fordpass,bicycle,2020-02-01,40,2020-02-01,1955,2020,2,5,0,1,6.919275,50.956947,6.9437566,50.967136,"(50.9569, 6.9193)","(50.9671, 6.9438)",2055.0725849588293,69301.0,0.10675547691738627
YmlrZTo6Zm9yZHBhc3M6OjE4MDE0NQ==,fordpass,bicycle,2020-02-01,45,2020-02-01,100,2020,2,5,0,1,6.9942822,50.937943,7.0070386,50.941437,"(50.9379, 6.9943)","(50.9414, 7.007)",974.6056584209107,903.0,3.8854710634720693
