id,provider,city,vehicleType,model,datetime_start,date_start,time_start,datetime_end,date_end,time_end,longitude_start,latitude_start,longitude_end,latitude_end,fuel_start,fuel_end,distance,duration,price_driving_start,price_driving_end,price_promo_start,price_promo_end,missing_file_number
YmlrZTo6Y2lyYzo6M2FjMzk3YWQtZjM4Yi00ZDVmLTk5NzItNGYyZTNlMDJjZDY0,circ,cologne,kick scooter,197469,20200204-203907,20200204,2035,20200204-204407,20200204,2040,6.944186999999999,50.928683,6.94395,50.929165000000005,36.0,35.0,56.11084637163846,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2FjMzk3YWQtZjM4Yi00ZDVmLTk5NzItNGYyZTNlMDJjZDY0,circ,cologne,kick scooter,197469,20200204-210907,20200204,2105,20200204-211408,20200204,2110,6.944057000000001,50.929363,6.944103,50.928841999999996,35.0,35.0,58.022269581184204,301.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2M5NWM4Y2YtYzI3OC00ZjkwLWIyOGYtNjY0NmQyNzFjYTkw,circ,cologne,kick scooter,498876,20200204-154907,20200204,1545,20200204-160407,20200204,1600,6.950448,50.941105,6.943588,50.947993,69.0,63.0,904.2203267741259,900.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2U0OGQ5YWEtNTdhNi00YjViLWFkNWQtN2ZmY2Q5MzY4YWM4,circ,cologne,kick scooter,419914,20200204-092408,20200204,920,20200204-092907,20200204,925,6.938105,50.927045,6.938097,50.926595,42.0,42.0,50.04092749019154,299.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2U0OGQ5YWEtNTdhNi00YjViLWFkNWQtN2ZmY2Q5MzY4YWM4,circ,cologne,kick scooter,419914,20200204-094407,20200204,940,20200204-094907,20200204,945,6.938095,50.92693,6.937612,50.926548,40.0,40.0,54.31610487468182,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2U0OGQ5YWEtNTdhNi00YjViLWFkNWQtN2ZmY2Q5MzY4YWM4,circ,cologne,kick scooter,419914,20200204-094907,20200204,945,20200204-095407,20200204,950,6.937612,50.926548,6.938172,50.926891999999995,40.0,40.0,54.80551318661961,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2U0OGQ5YWEtNTdhNi00YjViLWFkNWQtN2ZmY2Q5MzY4YWM4,circ,cologne,kick scooter,419914,20200204-174907,20200204,1745,20200204-175408,20200204,1750,6.93805,50.926798,6.937722999999999,50.927243,42.0,42.0,54.531734340577934,301.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2U0OGQ5YWEtNTdhNi00YjViLWFkNWQtN2ZmY2Q5MzY4YWM4,circ,cologne,kick scooter,419914,20200204-175408,20200204,1750,20200204-175908,20200204,1755,6.937722999999999,50.927243,6.937987,50.926757,42.0,42.0,57.12068384788446,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDFhZDZkNjItMDBjZC00NjU0LThkZmEtNjRkNjVjOTJkNTVi,circ,cologne,kick scooter,832947,20200204-134909,20200204,1345,20200204-135407,20200204,1350,6.9552179999999995,50.945353000000004,6.959763000000001,50.943218,18.0,16.0,397.1855115426207,298.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDJkZDFmOWEtZmJhMi00MDUxLTkzNTAtOWM4Yzg2NWJmODI5,circ,cologne,kick scooter,899240,20200204-163908,20200204,1635,20200204-164407,20200204,1640,6.9606770000000004,50.944392,6.960398,50.943737,22.0,21.0,75.41025560195747,299.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDJkZDFmOWEtZmJhMi00MDUxLTkzNTAtOWM4Yzg2NWJmODI5,circ,cologne,kick scooter,899240,20200204-164407,20200204,1640,20200204-164907,20200204,1645,6.960398,50.943737,6.960617999999999,50.944265,21.0,21.0,60.70058029339351,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDJkZDFmOWEtZmJhMi00MDUxLTkzNTAtOWM4Yzg2NWJmODI5,circ,cologne,kick scooter,899240,20200204-174907,20200204,1745,20200204-175408,20200204,1750,6.960505,50.94491,6.960567,50.94426,19.0,19.0,72.40721307300491,301.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDJkZDFmOWEtZmJhMi00MDUxLTkzNTAtOWM4Yzg2NWJmODI5,circ,cologne,kick scooter,899240,20200204-184408,20200204,1840,20200204-184908,20200204,1845,6.960238,50.944517,6.960392999999999,50.94507,17.0,17.0,62.44240975514227,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDhmODAzZTEtNjc1My00MDliLTkzMmEtYzQyZmEwZGUwOWJh,circ,cologne,kick scooter,362391,20200204-220907,20200204,2205,20200204-221907,20200204,2215,6.93893,50.942645,6.934767,50.933132,65.0,58.0,1097.2831724977714,600.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MGFmOGI0ODQtN2Y1My00ZmFhLWI4ZmYtNDhkMzc3NDhkYmZm,circ,cologne,kick scooter,264705,20200204-193408,20200204,1930,20200204-194909,20200204,1945,6.9186179999999995,50.952315000000006,6.919295,50.95211,89.0,86.0,52.61742536212475,901.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MGQ2ZTUwZTQtNWZlMi00YWNkLTlmNTEtN2Q4MTEyOGQ2ODIz,circ,cologne,kick scooter,128470,20200204-194409,20200204,1940,20200205-101408,20200205,1010,6.9537119999999994,50.9438,6.945355,50.938567,87.0,98.0,825.4984966042723,52199.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
