id,provider,city,vehicleType,model,datetime_start,date_start,time_start,datetime_end,date_end,time_end,longitude_start,latitude_start,longitude_end,latitude_end,fuel_start,fuel_end,distance,duration,price_driving_start,price_driving_end,price_promo_start,price_promo_end,missing_file_number
YmlrZTo6Y2lyYzo6M2E1NzJiODAtZDQzZi00MWM5LWE0NzUtYWEzNmQ0NTNiNzQ1,circ,cologne,kick scooter,615621,20200211-051908,20200211,515,20200211-052428,20200211,520,6.953553,50.939063,6.953887,50.938643,48.0,48.0,52.237737521642586,320.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2E1NzJiODAtZDQzZi00MWM5LWE0NzUtYWEzNmQ0NTNiNzQ1,circ,cologne,kick scooter,615621,20200211-072408,20200211,720,20200211-073906,20200211,735,6.953567999999999,50.938957,6.999585000000001,50.937727,47.0,23.0,3227.3236174684816,898.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2E1NzJiODAtZDQzZi00MWM5LWE0NzUtYWEzNmQ0NTNiNzQ1,circ,cologne,kick scooter,615621,20200211-075407,20200211,750,20200212-140407,20200212,1400,6.9996350000000005,50.937922,6.974837,50.939908,24.0,99.0,1751.5584153973189,108600.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2FjMzk3YWQtZjM4Yi00ZDVmLTk5NzItNGYyZTNlMDJjZDY0,circ,cologne,kick scooter,197469,20200211-200407,20200211,2000,20200211-200908,20200211,2005,6.947367,50.935272,6.947778,50.934118,17.0,17.0,131.51160868212347,301.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2JkMTI3ZDMtYmNhYi00MGNkLWJjMjktNDNhOGM4MzdlN2Vj,circ,cologne,kick scooter,251758,20200211-133907,20200211,1335,20200211-135907,20200211,1355,6.973165,50.955721999999994,6.956587,50.950173,71.0,54.0,1315.0060649804439,1200.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2UyOGZjZjgtMjI5NS00OWIxLTkyNGQtY2MyMmUxNTRiYzdm,circ,cologne,kick scooter,511514,20200211-173408,20200211,1730,20200211-175408,20200211,1750,6.955597999999999,50.939248,6.9407726,50.9313875,43.0,31.0,1357.6630229788693,1200.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2VjMTViNmUtYzY0NS00ZWRiLWIyY2UtNGYxYmU4MDI4YjEx,circ,cologne,kick scooter,408466,20200211-140408,20200211,1400,20200211-140908,20200211,1405,6.9438130000000005,50.948097,6.945063,50.947588,67.0,67.0,104.26823522884337,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDEzZmYyYTQtYzI0Mi00ZjQ0LWI3MmUtOTQwYTE3OTVhOGZi,circ,cologne,kick scooter,219899,20200211-124407,20200211,1240,20200211-125908,20200211,1255,6.9551169999999995,50.958773,6.959213,50.948173,46.0,39.0,1213.0860733681448,901.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDJkZDFmOWEtZmJhMi00MDUxLTkzNTAtOWM4Yzg2NWJmODI5,circ,cologne,kick scooter,899240,20200211-220407,20200211,2200,20200212-161909,20200212,1615,6.960597,50.944478000000004,6.9391929999999995,50.936662,18.0,99.0,1733.3417719940996,65702.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDgwMGU0ZjctZGYwMC00NWU5LWI2NTMtZWRlNzAxMTExM2Vm,circ,cologne,kick scooter,454746,20200211-163908,20200211,1635,20200211-164909,20200211,1645,6.948817999999999,50.936652,6.949563,50.936458,38.0,36.0,56.485755694166095,601.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDgwMWJmZTctODBkZi00NDdkLTk1ZjktOTBkNmEwOWYxMjQ5,circ,cologne,kick scooter,297146,20200211-104408,20200211,1040,20200211-111409,20200211,1110,6.980822,50.949571999999996,6.974385000000001,50.9368,94.0,93.0,1490.07323156675,1801.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MGE3ODYxNDItMWQ5Yy00MDM2LWI5N2QtOWQ4M2IxN2FkYTY2,circ,cologne,kick scooter,515394,20200211-105428,20200211,1050,20200211-105909,20200211,1055,6.976787,50.947582000000004,6.973273,50.940068,50.0,50.0,871.0377828599859,281.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MGE3ODYxNDItMWQ5Yy00MDM2LWI5N2QtOWQ4M2IxN2FkYTY2,circ,cologne,kick scooter,515394,20200211-105909,20200211,1055,20200211-110410,20200211,1100,6.973273,50.940068,6.976045,50.93522,50.0,50.0,572.9998327855814,301.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MGE3ODYxNDItMWQ5Yy00MDM2LWI5N2QtOWQ4M2IxN2FkYTY2,circ,cologne,kick scooter,515394,20200211-110410,20200211,1100,20200211-110908,20200211,1105,6.976045,50.93522,6.974353,50.936766999999996,50.0,50.0,208.92128096873387,298.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
