id,provider,city,vehicleType,model,datetime_start,date_start,time_start,datetime_end,date_end,time_end,longitude_start,latitude_start,longitude_end,latitude_end,fuel_start,fuel_end,distance,duration,price_driving_start,price_driving_end,price_promo_start,price_promo_end,missing_file_number
YmlrZTo6Y2lyYzo6M2RjNDQwY2UtMzUwNS00OTQyLWEzZTAtNDNhZDIyZDU0MWVh,circ,cologne,kick scooter,617778,20200102-231909,20200102,2315,20200102-232906,20200102,2325,6.939207000000001,50.938837,6.955652000000001,50.942028,73.0,65.0,1205.6488112311358,597.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2UyNDU1ZTUtMTgwYy00YWYyLWIyNzMtYjUyMmU1NzYwNzky,circ,cologne,kick scooter,166703,20200102-185413,20200102,1850,20200102-190602,20200102,1905,6.939275,50.938867,6.936286999999999,50.934208,98.0,93.0,558.769334792145,709.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2Y5ODkwYjEtMzM5ZS00NDhhLWE5M2ItNDNiMWQ5ZTA2Mjdj,circ,cologne,kick scooter,937446,20200102-120426,20200102,1200,20200102-121909,20200102,1215,6.963332,50.93271,6.962802000000001,50.942105,99.0,94.0,1045.3376929641229,883.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2Y5ODkwYjEtMzM5ZS00NDhhLWE5M2ItNDNiMWQ5ZTA2Mjdj,circ,cologne,kick scooter,937446,20200102-124906,20200102,1245,20200102-133908,20200102,1335,6.962802000000001,50.942105,6.95815,50.9419,94.0,64.0,326.73742538986676,3002.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2Y5ODkwYjEtMzM5ZS00NDhhLWE5M2ItNDNiMWQ5ZTA2Mjdj,circ,cologne,kick scooter,937446,20200102-160548,20200102,1605,20200102-160908,20200102,1605,6.958438,50.94229,6.957352,50.941715,66.0,66.0,99.38662639848647,200.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2Y5ODkwYjEtMzM5ZS00NDhhLWE5M2ItNDNiMWQ5ZTA2Mjdj,circ,cologne,kick scooter,937446,20200102-160908,20200102,1605,20200102-161408,20200102,1610,6.957352,50.941715,6.957678,50.942157,66.0,66.0,54.19655038933879,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2Y5ODkwYjEtMzM5ZS00NDhhLWE5M2ItNDNiMWQ5ZTA2Mjdj,circ,cologne,kick scooter,937446,20200102-221406,20200102,2210,20200102-221907,20200102,2215,6.9582679999999995,50.942145000000004,6.951980000000001,50.946234999999994,66.0,62.0,633.1771192473246,301.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDI1OGNjZDItMDgyNy00ODI0LWI5ZWItM2I5OGI4NDNlMmRk,circ,cologne,kick scooter,463022,20200102-221406,20200102,2210,20200102-225924,20200102,2255,6.956503,50.935275,6.956911999999999,50.936963,98.0,32.0,189.8727916130973,2718.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDJkZDFmOWEtZmJhMi00MDUxLTkzNTAtOWM4Yzg2NWJmODI5,circ,cologne,kick scooter,899240,20200102-162906,20200102,1625,20200102-163906,20200102,1635,6.939233,50.938302,6.942437,50.94457,96.0,89.0,732.2322843411972,600.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6MDJkZDFmOWEtZmJhMi00MDUxLTkzNTAtOWM4Yzg2NWJmODI5,circ,cologne,kick scooter,899240,20200102-164533,20200102,1645,20200102-165406,20200102,1650,6.94257,50.944608,6.954074886200342,50.94853913885034,89.0,79.0,916.9108839459027,513.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
