id,provider,city,vehicleType,model,datetime_start,date_start,time_start,datetime_end,date_end,time_end,longitude_start,latitude_start,longitude_end,latitude_end,fuel_start,fuel_end,distance,duration,price_driving_start,price_driving_end,price_promo_start,price_promo_end,missing_file_number
YmlrZTo6Y2lyYzo6M2RjNDQwY2UtMzUwNS00OTQyLWEzZTAtNDNhZDIyZDU0MWVh,circ,cologne,kick scooter,617778,20200106-004926,20200106,45,20200106-005424,20200106,50,6.950107000000001,50.935187,6.956592,50.935266999999996,16.0,16.0,454.5232946922992,298.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2RjNDQwY2UtMzUwNS00OTQyLWEzZTAtNDNhZDIyZDU0MWVh,circ,cologne,kick scooter,617778,20200106-005424,20200106,50,20200106-005906,20200106,55,6.956592,50.935266999999996,6.958898,50.935175,16.0,16.0,161.91641121262379,282.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2RjNDQwY2UtMzUwNS00OTQyLWEzZTAtNDNhZDIyZDU0MWVh,circ,cologne,kick scooter,617778,20200106-190505,20200106,1905,20200107-112438,20200107,1120,6.9589300000000005,50.935127,6.9453380000000005,50.947365000000005,10.0,99.0,1660.9439568856603,58773.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2U1NzkxZDQtNTcwOC00MzhjLWJiOTctNTUxYTUzODg4YzM3,circ,cologne,kick scooter,750022,20200106-020406,20200106,200,20200106-020942,20200106,205,6.94885,50.939005,6.948697,50.938563,82.0,82.0,50.30388094870937,336.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2U1NzkxZDQtNTcwOC00MzhjLWJiOTctNTUxYTUzODg4YzM3,circ,cologne,kick scooter,750022,20200106-204925,20200106,2045,20200106-205428,20200106,2050,6.949066999999999,50.938598,6.948472,50.938895,81.0,81.0,53.18669152210541,303.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2U1NzkxZDQtNTcwOC00MzhjLWJiOTctNTUxYTUzODg4YzM3,circ,cologne,kick scooter,750022,20200106-222928,20200106,2225,20200106-223408,20200106,2230,6.948858,50.939077000000005,6.948525,50.938621999999995,80.0,80.0,55.71503029906697,280.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2U1NzkxZDQtNTcwOC00MzhjLWJiOTctNTUxYTUzODg4YzM3,circ,cologne,kick scooter,750022,20200106-223408,20200106,2230,20200106-223925,20200106,2235,6.948525,50.938621999999995,6.948882000000001,50.939147,80.0,80.0,63.51112533308724,317.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2UyNDU1ZTUtMTgwYy00YWYyLWIyNzMtYjUyMmU1NzYwNzky,circ,cologne,kick scooter,166703,20200106-071908,20200106,715,20200106-073406,20200106,730,6.959158,50.944053000000004,6.962578,50.929787,56.0,44.0,1604.3089819369222,898.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2UyNDU1ZTUtMTgwYy00YWYyLWIyNzMtYjUyMmU1NzYwNzky,circ,cologne,kick scooter,166703,20200106-075407,20200106,750,20200106-075924,20200106,755,6.963095,50.929748,6.962383,50.929846999999995,44.0,44.0,51.099061568098904,317.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2UyNDU1ZTUtMTgwYy00YWYyLWIyNzMtYjUyMmU1NzYwNzky,circ,cologne,kick scooter,166703,20200106-075924,20200106,755,20200106-080442,20200106,800,6.962383,50.929846999999995,6.963137,50.929792,44.0,44.0,53.195401251944695,318.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2UyNDU1ZTUtMTgwYy00YWYyLWIyNzMtYjUyMmU1NzYwNzky,circ,cologne,kick scooter,166703,20200106-104408,20200106,1040,20200106-104910,20200106,1045,6.962695,50.930137,6.9637080000000005,50.92969,45.0,45.0,86.66409110780641,302.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2UyNDU1ZTUtMTgwYy00YWYyLWIyNzMtYjUyMmU1NzYwNzky,circ,cologne,kick scooter,166703,20200106-104910,20200106,1045,20200106-105410,20200106,1050,6.9637080000000005,50.92969,6.963019999999999,50.929955,45.0,46.0,56.50825968328398,300.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
YmlrZTo6Y2lyYzo6M2UyNDU1ZTUtMTgwYy00YWYyLWIyNzMtYjUyMmU1NzYwNzky,circ,cologne,kick scooter,166703,20200106-114431,20200106,1140,20200106-114933,20200106,1145,6.963067999999999,50.929722999999996,6.963227000000001,50.930258,48.0,48.0,60.524005745493305,302.0,"1 € + 0,20 € / min","1 € + 0,20 € / min",,,0
