id,provider,city,vehicleType,model,datetime_start,date_start,time_start,datetime_end,date_end,time_end,longitude_start,latitude_start,longitude_end,latitude_end,fuel_start,fuel_end,distance,duration,price_driving_start,price_driving_end,price_promo_start,price_promo_end,missing_file_number
YmlrZTo6Zm9yZHBhc3M6OjE2NTg5Mw==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-153408,20200101,1530,6.973105400000001,50.934692,6.961921,50.94937,,,1810.496944950391,55484.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NTkwNA==,fordpass,cologne,bicycle,,20200101-074406,20200101,740,20200101-081407,20200101,810,6.891333599999999,50.95387,6.940218400000001,50.954876,,,3426.0174256207597,1801.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjA5Mw==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200102-020406,20200102,200,6.933173,50.940155,6.9285603,50.972935,,,3659.2657400337707,93282.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjE3Nw==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.911067,50.94447,6.928704300000001,50.951344,,,1452.9063930649766,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjE3Nw==,fordpass,cologne,bicycle,,20200101-040406,20200101,400,20200101-042906,20200101,425,6.928704300000001,50.951344,6.9436255000000005,50.957302,,,1237.4546379048647,1500.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjEyNQ==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.933103,50.90596,6.934352400000001,50.906178000000004,,,90.8983650335514,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjEyNg==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.9308467,50.92152,6.9288774,50.92152,,,138.039326179119,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjEzNQ==,fordpass,cologne,bicycle,,20200101-100407,20200101,1000,20200101-103906,20200101,1035,6.9107145999999995,50.922993,6.974526400000001,50.936775,,,4727.411666335206,2099.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjEzNQ==,fordpass,cologne,bicycle,,20200101-230406,20200101,2300,20200102-183925,20200102,1835,6.974526400000001,50.936775,6.9894940000000005,50.931973,,,1176.9654052489586,70519.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjIxMg==,fordpass,cologne,bicycle,,20200101-141909,20200101,1415,20200101-143909,20200101,1435,6.9129744,50.927788,6.932228599999999,50.927383,,,1350.2105690731164,1200.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjIxMg==,fordpass,cologne,bicycle,,20200101-143909,20200101,1435,20200101-145907,20200101,1455,6.932228599999999,50.927383,6.9228697,50.950977,,,2704.2518087968933,1198.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjIzMw==,fordpass,cologne,bicycle,,20200101-234908,20200101,2345,20200102-081407,20200102,810,6.9572754,50.941696,6.9325867,50.936676,,,1817.7416929146225,30299.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjM5Mw==,fordpass,cologne,bicycle,,20200101-135407,20200101,1350,20200101-140422,20200101,1400,6.970847,50.934104999999995,6.973561,50.941532,,,847.4592115863998,615.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjM5Mw==,fordpass,cologne,bicycle,,20200101-170922,20200101,1705,20200101-171907,20200101,1715,6.973561,50.941532,6.970743700000001,50.934055,,,854.521230967232,585.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjMxNg==,fordpass,cologne,bicycle,,20200101-120925,20200101,1205,20200102-072906,20200102,725,6.95995,50.943703,6.9686580000000005,50.95232,,,1135.8877610086656,69581.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjMzMg==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.922154400000001,50.923935,6.9157324000000004,50.949326,,,2858.9922215874767,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjQ2OA==,fordpass,cologne,bicycle,,20200101-230406,20200101,2300,20200101-232406,20200101,2320,6.9191647,50.945583,6.900919999999999,50.940907,,,1379.9771667557607,1200.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjQ5OA==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,7.0176053,50.971503999999996,7.015898700000001,50.97149,,,119.50680341203487,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjQwOQ==,fordpass,cologne,bicycle,,20200101-152409,20200101,1520,20200101-154409,20200101,1540,6.932799,50.92709,6.9294004000000005,50.954556,,,3063.353480339049,1200.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjU1OQ==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200102-073906,20200102,735,6.940415400000001,50.93553,6.932516000000001,50.94854,,,1548.908847396297,113382.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjU2OA==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-123923,20200101,1235,6.922146000000001,50.952263,6.906806,50.955566,,,1135.5535718456804,44999.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjUyMQ==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,7.0084740000000005,50.951992,7.0087924,50.951576,,,51.353573101454835,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjY0MQ==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.937321000000001,50.941406,6.937036,50.942036,,,72.84334603240401,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjY1NA==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.914452000000001,50.931152000000004,6.9184694,50.916225,,,1683.5255241641787,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjY4MA==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.9402795,50.946613,6.960905,50.96719,,,2705.9674334983806,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjYwOQ==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-134408,20200101,1340,6.89841,50.94409,6.9711394,50.954113,,,5215.46299594551,48884.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjYxNA==,fordpass,cologne,bicycle,,20200101-175906,20200101,1755,20200101-181407,20200101,1810,6.9457702999999995,50.927741999999995,6.9602785,50.94041,,,1737.1990768676174,901.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjYxNw==,fordpass,cologne,bicycle,,20200101-183407,20200101,1830,20200101-184407,20200101,1840,6.9289064,50.921859999999995,6.926937599999999,50.92977,,,890.3119078574314,600.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2Njc2Mw==,fordpass,cologne,bicycle,,20200101-023408,20200101,230,20200101-024923,20200101,245,6.941896400000001,50.927486,6.959343400000001,50.93288,,,1361.9155807082664,915.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2Njc5NQ==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.966987,50.924313,6.957221499999999,50.90768,,,1972.1451083484935,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2Njk1Ng==,fordpass,cologne,bicycle,,20200101-160922,20200101,1605,20200102-022434,20200102,220,6.9979762999999995,50.939545,6.998495,50.940312,,,92.70766285490387,36912.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2Njk4Nw==,fordpass,cologne,bicycle,,20200101-024407,20200101,240,20200101-204907,20200101,2045,6.9386845,50.93473,6.93365,50.928764,,,751.3769045166524,65100.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjkwMQ==,fordpass,cologne,bicycle,,20200101-140422,20200101,1400,20200102-121909,20200102,1215,6.9463015,50.931473,6.9477863,50.9383,,,766.2261802981774,80087.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NjkzOQ==,fordpass,cologne,bicycle,,20200101-094907,20200101,945,20200101-100908,20200101,1005,6.940656,50.923794,6.9561253,50.950294,,,3139.7212465037983,1201.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NzA4Mw==,fordpass,cologne,bicycle,,20200101-120925,20200101,1205,20200101-122408,20200101,1220,6.9572515,50.952020000000005,6.9720364,50.955093,,,1090.5582553514566,883.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NzA4Mw==,fordpass,cologne,bicycle,,20200101-124906,20200101,1245,20200102-111908,20200102,1115,6.9720364,50.955093,6.961223599999999,50.937492,,,2098.633191048658,81002.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NzAyMg==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-023908,20200101,235,6.971474000000001,50.91008,6.9641943,50.920734,,,1289.9216336942065,8984.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NzE1Ng==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.946671,50.97253,6.9463234,50.972134000000004,,,50.31198483336,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NzE2Mg==,fordpass,cologne,bicycle,,20200101-000924,20200101,5,20200101-022923,20200101,225,6.9872856,50.949215,6.9791803,50.939803999999995,,,1190.6061866554764,8399.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NzE4MQ==,fordpass,cologne,bicycle,,20200101-122924,20200101,1225,20200101-123923,20200101,1235,6.931344,50.956154,6.933986999999999,50.95015,,,692.8100474619923,599.0,,,,,0
YmlrZTo6Zm9yZHBhc3M6OjE2NzExNg==,fordpass,cologne,bicycle,,20200101-213406,20200101,2130,20200101-215907,20200101,2155,6.952162700000001,50.96713,6.9262357,50.95328,,,2380.9871395899927,1501.0,,,,,0
